word	nodeType	unit
sorry	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
late	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
available	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
good	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
ready	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
bad	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
ready	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
angry	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
careful	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
sick	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
dead	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
early	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
stray	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
bad	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
new	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
last	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
quiet	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
busy	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
safe	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
helpful	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
many	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
tight	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
much	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
able	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
long	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
insane	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
good	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
worried	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
happy	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
elegant	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
unrefined	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
